id,name_cz,name_de,district_id,note
1,Abertamy,Abertham,25,
2,Adamov,Adamsthal,3,
3,Adamov,Adamsthal,6,
4,Adamov,Adamstadt,9,též Ungnadovské Hory či Perkstadt
5,Adamov,Admannsdorf,31,
6,Adamov,Adamsthal,64,
7,Adamov,Adamstal,68,
8,Adolfov,Adolfsgrün,71,
9,Adolfovice,Adelsdorf,21,
10,Adršpach,Adersbach,38,
11,Ahníkov,Hagensdorf,18,
12,Alberovice,Alberowitz,1,
13,Albeř,Albern,24,
14,Albeřice,Alberitz,25,zaniklá obec ve vojenském újezdu Hradiště
15,Albrechtice,Albersdorf,26,
16,Albrechtice,Albrechtsried,28,
17,Albrechtice,Albrechtitz,32,
18,Albrechtice,Ulbersdorf,37,zaniklá obec
19,Albrechtice,Albrechtitz,62,
20,Albrechtice,Olbersdorf,72,
21,Albrechtice,Albrechtitz,77,
22,Albrechtice nad Orlicí,Albrechtsdorf an der Adler,59,
23,Albrechtice nad Vltavou,Albrechtitz an der Moldau,46,
24,Albrechtice u Rýmařova,Olbersdorf,6,
25,Albrechtice v Jizerských horách,Albrechtsdorf,20,
26,Alexovice,Alexowitz,5,
27,Aloisov,Aloisdorf,50,
28,Alojzov,Aloisdorf,54,
29,Alojzov,Aloisdorf,64,
30,Alšovice,Alsowice,20,
31,Alžbětín,Elisenthal,28,
32,Amalín,Amalienfeld,6,
33,Anděl Strážce,Schutzengel,20,
34,Andělice,Engelsdorf,28,
35,Andělka,Engelsdorf,32,
36,Andělská Hora,Engelhaus,25,
37,Andělská Hora,Engelsberg,32,
38,Andělská Hora,"Engelsberg, Engelstadt",6,
39,Andělské Žleby,Engelsthal,64,zaniklá obec
40,Anenská Studánka,Königsfeld,72,
41,Anenská Ves,Annadorf,61,
42,Annaberk,Annaberg,21,
43,Annaberk,Annaberg,64,
44,Annín,Annathal,28,
45,Annín,Annadorf,55,
46,Annovice,Annadorf,24,
47,Antonínov,Antoniwald,20,
48,Antonka,Antonidorf,45,
49,Antošovice,Antoschowitz,43,součástí městského obvodu Slezská Ostrava
50,Archlebov,Archlebau,15,
51,Arneštovice,Arneschtowitz,45,
52,Arnolec,Arnoldsdorf,23,
53,Arnoldov,Arletzgrün,25,
54,Arnoltice,Arnsdorf,11,
55,Arnoltice,Arnsdorf,41,
56,Arnoltice,Ernstbrunn,32,
57,Arnoltov,Arnetzgrün,61,
58,Arnoštka,Ernstberg,53,
59,Arnoštov,Ernstdörfel,22,
60,Arnoštov,Ernstbrunn,53,
61,Arnoštov,Ernestdorf,55,osada vesnice Oplocany
62,Arnoštovice,Arnoschtowitz,1,
63,Arnultovice,Arnsdorf,68,
64,Arnultovice,Arnsdorf,71,
65,Arnultovice,Arnsdorf,6,
66,Artmanov,Erdmannsgrund,6,
67,Artolec,Artholz,24,
68,Aš,Asch,17,
69,Babákov,Babakow,19,bývalá obec zahrnující Dolní Babákov a Horní Babákov
70,Babčice,Babtschitz,1,
71,Babčice,Babtschitz,65,
72,Babětín,Babutin,11,
73,Babí,Bamberg,10,zaniklá obec
74,Babí,Babe,38,
75,Babí,Trautenbach,68,
76,Babice,Babitz,1,u Olbramovic
77,Babice,Babitz,1,u Řehenic
78,Babice,Wabitz,12,
79,Babice,Babitz,14,
80,Babice,Babitz,16,
81,Babice,Babitz,41,
82,Babice,Babitz,45,
83,Babice,Groß Babitz,51,
84,Babice,Bowitz,53,
85,Babice,Babitz,69,
86,Babice,Babitz,70,
87,Babice,Babitz,73,
88,Babice nad Svitavou,Babitz,5,
89,Babice u Rosic,Babitz,5,
90,Babín,Babin,28,
91,Babín,Babin,45,
92,Babolky,Babolek,3,
93,Bacov,Batzow,22,
94,Bácovice,Batchowitz,45,dříve též Báčovice
95,Bačalky,Batschalek,22,
96,Bačetín,Batschetin,59,
97,Bačice,Batschitz,69,
98,Bačkov,Batschkow,14,
99,Bačkovice,Batzkowitz,69,
100,Bačov,Batschau,3,
101,Bahna,Bachna,3,osada Dolního Smržova u Letovic
102,Bahno,Bachno,13,osada města Místek
103,Bahno,Bachno,31,
104,Bakov,Bakow,27,
105,Bakov,Bakow,38,
106,Bakov nad Jizerou,Bakow an der Iser,36,
107,Baliny,Ballin,77,
108,Balková,Walkowa,49,
109,Balkova Lhota,Balk-Lhota,65,
110,Balkovy,Balkau,28,
111,Baně,Banie,50,
112,Banín,Bohnau,63,
113,Báňov,Baniow,1,
114,Bánov,Banow,70,
115,Báňovice,Banowitz,24,
116,Bantice,Panditz,76,
117,Barčov,Bartschow,1,
118,Barchov,Gross Barchow,16,
119,Barchov,Barchau,44,
120,Barchovice,Barchowitz,29,
121,Barchůvek,Klein Barchow,16,
122,Barochov,Barochow,1,
123,Barovice,Barowitz,14,
124,Bartošovice,Partschendorf,39,
