name,diminutive
ADRIANA,Adrianka
ADRIANA,Adruška
ADRIANA,Adřička
ADRIANA,Riana
ALEŠ,Ala
ALEŠ,Lešek
ALEŠ,Alešek
ALEŠ,Lexa
ALEXEJ,Alex
ALEXEJ,Alek
ALEXEJ,Alan
ALEXEJ,Saša
ALEXEJ,Lexa
ALICE,Ali
ALICE,Ala
ALICE,Alka
ALICE,Ája
ALICE,Alička
ALICE,Alina
ALŽBĚTA,Běta
ALŽBĚTA,Bětka
ALŽBĚTA,Bětuška
ALŽBĚTA,Ela
ALŽBĚTA,Eliška
ALŽBĚTA,Betynka
ALŽBĚTA,Běta
ALŽBĚTA,Bětka
ALŽBĚTA,Bětuška
ALŽBĚTA,Ela
ALŽBĚTA,Líza
ALŽBĚTA,Bety
ALŽBĚTA,Betynka
AMBROŽ,Ambrožek
ANASTÁZIE,Stázinka
ANASTÁZIE,Stázička
ANASTÁZIE,Anastázka
ANASTÁZIE,Stázka
ANDĚLA,Andělka
ANDĚLA,Andělína
ANDĚLA,Anďa
ANEŽKA,Any
ANEŽKA,Anynka
ANEŽKA,Áňa
ANNA,Anka
ANNA,Anča
ANNA,Anče
ANNA,Anda
ANNA,Aňa
ANNA,Andula
ANNA,Andule
ANNA,Andulka
ANNA,Andulák
ANNA,Andulička
ANNA,Andulinka
ANNA,Anička
ANNA,Anina
ANNA,Aninka
ANNA,Anynka
ANNA,Anuše
ANNA,Anuška
ANNA,Anitka
ANTONÍN,Anton
ANTONÍN,Toníček
ANTONÍN,Tony
ANTONÍN,Tonda
ANTONÍN,Tóňa
ANTONÍN,Antoníček
ARNOŠT,Arnoštek
ARNOŠT,Arno
ARNOŠT,Arnek
ARNOŠT,Arnoušek
BARBORA,Barborka
BARBORA,Bára
BARBORA,Barka
BARBORA,Barča
BARBORA,Barče
BARBORA,Barčinka
BARBORA,Baruška
BARBORA,Barunka
BARBORA,Bora
BARTOLOMĚJ,Bárta
BARTOLOMĚJ,Bart
BARTOLOMĚJ,Bartík
BEÁTA,Beatka
BEÁTA,Betka
BEÁTA,Áta
BEÁTA,Bea
BEDŘICH,Béďa
BEDŘICH,Béda
BEDŘICH,Bedříšek
BEDŘICH,Beďouš
BEDŘICH,Beďka
BLANKA,Bláňa
BLANKA,Blanča
BLANKA,Blanička
BLANKA,Blanuška
BRIGITA,Brigitka
BRIGITA,Brita
BRIGITA,Gita
BRIGITA,Gituška
BRIGITA,Rita
BRONISLAVA,Broňa
BRONISLAVA,Bronička
BRONISLAVA,Bronina
BRONISLAVA,Bronuška
DAVID,Davídek
DITA,Ditka
DITA,Dituška
DITA,Ditunka
DITA,Ditinka
DOMINIKA,Dominička
DOMINIKA,Nika
DOMINIKA,Dominka
DOMINIKA,Domka
DOROTA,Dori
DOROTA,Dorka
DOROTA,Dorinka
DOROTA,Dorotka
EDITA,Editka
EDITA,Eda
EDITA,Edina
EDITA,Edy
EDITA,Dita
EDITA,Ditka
EDITA,Dituška
EDUARD,Eduardek
EDUARD,Edánek
EDUARD,Edáček
EDUARD,Edy
EDUARD,Eda
EDUARD,Éda
EDUARD,Edík
EDUARD,Edíček
ELIÁŠ,Eliášek
ELIÁŠ,Eli
ELIÁŠ,Elia
ELIÁŠ,Elija
ELIÁŠ,Elíšek
ELIŠKA,Ela
ELIŠKA,Eli
ELIŠKA,El
ELIŠKA,Elina
ELIŠKA,Elinka
ELIŠKA,Elka
ELIŠKA,Elda
ELIŠKA,Elíza
ELIŠKA,Lisa
ELIŠKA,Líza
ELIŠKA,Elsa
ELIŠKA,Lily
ELIŠKA,Elis
ELIŠKA,Elíšek
ELIŠKA,Elík
ELIŠKA,Elča
ELIŠKA,Ela
ELIŠKA,Eli
ELIŠKA,El
ELIŠKA,Elina
ELIŠKA,Elinka
ELIŠKA,Elka
ELIŠKA,Elda
ELIŠKA,Elíza
ELIŠKA,Lisa
ELIŠKA,Líza
ELIŠKA,Elsa
ELIŠKA,Lily
ELIŠKA,Elis
ELIŠKA,Elíšek
ELIŠKA,Elík
ELIŠKA,Elča
EMÍLIE,Míla
EMÍLIE,Milka
EMÍLIE,Emča
EMÍLIE,Emilka
EMÍLIE,Emuška
EMÍLIE,Emka
EVA,Evča
EVA,Evička
EVA,Evičinka
EVA,Evina
EVA,Evinka
EVA,Evka
EVA,Evčule
EVA,Evčulinka
EVA,Efka
EVA,Evouš
EVA,Evoušek
EVA,Evuška
EVA,Evík
EVA,Evik
EVA,Evulinka
EVELÍNA,Evelínka
EVELÍNA,Evelka
EVELÍNA,Evka
EVELÍNA,Evča
EVŽEN,Evža
EVŽEN,Evžík
EVŽEN,Evženek
FRANTIŠEK,Franta
FRANTIŠEK,Fanda
FRANTIŠEK,Fanouš
FRANTIŠEK,Fanoušek
FRANTIŠEK,Fanóš
FRANTIŠEK,Francek
FRANTIŠEK,Franta
FRANTIŠEK,Fanda
FRANTIŠEK,Fanouš
FRANTIŠEK,Fanoušek
FRANTIŠEK,Fanóš
FRANTIŠEK,Francek
FRANTIŠKA,Fanča
FRANTIŠKA,Fany
FRANTIŠKA,Fana
FRANTIŠKA,Fána
FRANTIŠKA,Fanči
FRANTIŠKA,Fanda
FRANTIŠKA,Fanka
FRANTIŠKA,Fanynka
FRANTIŠKA,Fanuška
FRANTIŠKA,Fančička
FRANTIŠKA,Fanča
FRANTIŠKA,Fany
FRANTIŠKA,Fana
FRANTIŠKA,Fána
FRANTIŠKA,Fanči
FRANTIŠKA,Fanda
FRANTIŠKA,Fanka
FRANTIŠKA,Fanynka
FRANTIŠKA,Fanuška
FRANTIŠKA,Fančička
GERTRUDA,Gera
GERTRUDA,Gerta
GERTRUDA,Gertička
GERTRUDA,Truda
GERTRUDA,Trudička
GIZELA,Gizelka
GIZELA,Gizi
GIZELA,Gizka
GIZELA,Gizuška
GIZELA,Zela
GIZELA,Zelka
GUSTAV,Gusta
GUSTAV,Gustík
GUSTAV,Gustíček
GUSTAV,Gustínek
HANA,Hanka
HANA,Hanča
HANA,Hanče
HANA,Hančí
HANA,Hančinka
HANA,Hani
HANA,Hanďa
HANA,Hája
HANA,Háňa
HANA,Hanička
HANA,Haňulka
HELENA,Helča
HELENA,Helenka
HELENA,Hela
HELENA,Helka
HELENA,Heluška
HELENA,Helička
HUGO,Hugi
HUGO,Hugoun
HUGO,Hugouš
HUGO,Hugonek
HUGO,Hugounek
IVAN,Ivánek
IVAN,Ivánek
IZABELA,Izabelka
IZABELA,Iza
IZABELA,Izuška
IZABELA,Bela
JAKUB,Jakoubek
JAKUB,Jakubek
JAKUB,Kuba
JAKUB,Kubík
JAKUB,Kubíček
JAN,Jenda
JAN,Jeníček
JAN,Jeník
JAN,Janík
JAN,Jéňa
JAN,Jano
JAN,Janeček
JAN,Janek
JAN,Johánek
JAN,Jen
JAN,Honza
JAN,Honzík
JAN,Honzák
JAN,Honzin
JAN,Honzíček
JAN,Žanek
JAN,Žany
JAN,Džanek
JAN,Džany
JAN,Jenda
JAN,Jeníček
JAN,Jeník
JAN,Janík
JAN,Jéňa
JAN,Jano
JAN,Janeček
JAN,Janek
JAN,Johánek
JAN,Jen
JAN,Honza
JAN,Honzík
JAN,Honzák
JAN,Honzin
JAN,Honzíček
JAN,Žanek
JAN,Žany
JAN,Džanek
JAN,Džany
JARMILA,Jarča
JARMILA,Jarka
JARMILA,Jaruška
JARMILA,Jaruna
JARMILA,Jarunka
JARMILA,Járinka
JARMILA,Jára
JARMILA,Jája
JAROSLAV,Jára
JAROSLAV,Jarda
JAROSLAV,Jarek
JAROSLAV,Jareček
JAROSLAV,Jaro
JAROSLAV,Jaryn
JAROSLAV,Jaroš
JAROSLAV,Jara
JAROSLAVA,Květka
JAROSLAVA,Květa
JAROSLAVA,Květuš
JAROSLAVA,Květuška
JAROSLAVA,Květunka
JAROSLAVA,Květuna
JEREMIÁŠ,Jerek
JEREMIÁŠ,Jerda
JEREMIÁŠ,Miáš
JEREMIÁŠ,Jerek
JEREMIÁŠ,Jerda
JEREMIÁŠ,Miáš
JERONÝM,Jereš
JERONÝM,Jerek
JERONÝM,Jeronýmek
JERONÝM,Jeroušek
JINDŘICH,Jindříšek
JINDŘICH,Jindra
JINDŘICH,Jindrouš
JINDŘIŠKA,Jindra
JINDŘIŠKA,Jindruška
JINDŘIŠKA,Jindři
JINDŘIŠKA,Jindřina
JINDŘIŠKA,Jindruška
JINDŘIŠKA,Jindřina
JINDŘIŠKA,Jindra
JINDŘIŠKA,Jindruška
JINDŘIŠKA,Jindřina
JINDŘIŠKA,Jindra
JIŘINA,Jířa
JIŘINA,Jiřka
JIŘINA,Jiřinka
JIŘINA,Jirča
JIŘINA,Jiruška
JIŘÍ,Jirka
JIŘÍ,Jiřík
JIŘÍ,Jiříček
JIŘÍ,Jirouš
JIŘÍ,Jura
JITKA,Jitečka
JITKA,Jituška
JITKA,Jitula
JITKA,Jitunka
JITKA,Jíťa
JITKA,Jitečka
JITKA,Jituška
JITKA,Jitula
JITKA,Jitunka
JITKA,Jíťa
JOHAN,Jenda
JOHAN,Jeníček
JOHAN,Jeník
JOHAN,Janík
JOHAN,Jéňa
JOHAN,Jano
JOHAN,Janeček
JOHAN,Janek
JOHAN,Johánek
JOHAN,Jen
JOHAN,Honza
JOHAN,Honzík
JOHAN,Honzák
JOHAN,Honzin
JOHAN,Honzíček
JOHAN,Žanek
JOHAN,Žany
JOHAN,Džanek
JOHAN,Džany
JOHANA,Johanka
JOHANA,Joha
JOHANA,Jonka
JOHANA,Johanka
JOHANA,Joha
JOHANA,Jonka
JONATÁN,Natan
JONATÁN,Jonek
JONATÁN,Jonatánek
JONÁŠ,Jonášek
JONÁŠ,Jony
JONÁŠ,Jonča
JONÁŠ,Jonek
JOSEF,Joska
JOSEF,Józa
JOSEF,Jozífek
JOSEF,Jožka
JOSEF,Jožin
JOSEF,Jožan
JOSEF,Jožánek
JOSEF,Pepa
JOSEF,Pepi
JOSEF,Pepík
JOSEF,Pepek
JOSEF,Pepča
JOSEF,Pepin
JOSEF,Pepan
JOSEF,Pepoušek
JOSEF,Pepánek
JOSEF,Jozef
JUDITA,Judka
JUDITA,Juditka
JUDITA,Juta
JUDITA,Jutka
JUDITA,Dita
JUDITA,Judka
JUDITA,Juditka
JUDITA,Juta
JUDITA,Jutka
JUDITA,Dita
JULIÁN,Julek
JULIÁN,Julda
JULIÁN,Julan
JULIÁN,Julča
JULIÁN,Juliánek
JULIÁN,Lian
JULIUS,Jula
JULIUS,Julek
JULIUS,Julík
JULIUS,Julča
JULIUS,Julda
JULIUS,Juloušek
JULIUS,Julisek
JUSTÝNA,Justa
JUSTÝNA,Justička
JUSTÝNA,Týna
JUSTÝNA,Justýnka
KAMILA,Kamuška
KAMILA,Kamka
KAMILA,Kamilka
KAMILA,Kamuška
KAMILA,Kamka
KAMILA,Kamilka
KAREL,Karlík
KAREL,Karlíček
KAREL,Kája
KAREL,Kájík
KAREL,Kájínek
KAREL,Kájíček
KAREL,Kárl
KAREL,Kódl
KAREL,Karlos
KAREL,Karlík
KAREL,Kája
KAREL,Karlíček
KAREL,Kájin
KAREL,Kájin
KAREL,Kódl
KAREL,Karlík
KAREL,Karlíček
KAREL,Kája
KAREL,Kájík
KAREL,Kájínek
KAREL,Kájíček
KAREL,Kárl
KAREL,Kódl
KARINA,Kara
KARINA,Karka
KARINA,Karča
KARINA,Karinka
KARINA,Karuš
KARINA,Karuška
KARLA,Karlička
KARLA,Kája
KARLA,Kájina
KARLA,Karluš
KARLA,Karlinka
KARLA,Karlička
KARLA,Kája
KARLA,Kájina
KARLA,Kájinka
KARLA,Karolka
KARLA,Karlinka
KATEŘINA,Kačka
KATEŘINA,Kači
KATEŘINA,Kačenka
KATEŘINA,Káťa
KATEŘINA,Katka
KATEŘINA,Katuška
KATEŘINA,Kačka
KATEŘINA,Kači
KATEŘINA,Kačenka
KATEŘINA,Káťa
KATEŘINA,Katka
KATEŘINA,Katuška
KATEŘINA,Kačka
KATEŘINA,Kači
KATEŘINA,Kačenka
KATEŘINA,Káťa
KATEŘINA,Katka
KATEŘINA,Katuška
KLÁRA,Klárka
KLÁRA,Kláruška
KLÁRA,Klárinka
KLÁRA,Klaruše
KRYŠTOF,Kryštofek
KRYŠTOF,Kryštůfek
KRYŠTOF,Kryša
KRYŠTOF,Kryšek
KVĚTA,Květka
KVĚTA,Květuš
KVĚTA,Květuška
KVĚTA,Květunka
KVĚTA,Květuna
KVĚTA,Květinka
KVĚTOSLAVA,Miluška
KVĚTOSLAVA,Milka
