name_en,name_cz,priority
ADOLF,ADOLF,2
ADOLPH,ADOLF,1
ADRIANA,ADRIANA,2
ADRIANNE,ADRIANA,1
ALES,ALES,2
ALEX,ALEŠ,1
ALEXANDER,ALEXANDR,1
ALEXANDR,ALEXANDR,2
ALFONS,ALFONS,2
ALICE,ALICE,1
ALICIA,ALICE,2
ALPHONSE,ALFONS,1
ALZBETA,ALŽBĚTA,1
AMBROSE,AMBROŽ,1
AMBROZ,AMBROŽ,2
AMOS,ÁMOS,1
ANASTAS,ANASTÁZ,1
ANASTASIA,ANASTÁZIE,1
ANASTAZ,ANASTÁZ,2
ANASTAZIE,ANASTÁZIE,2
ANDELA,ANDĚLA,2
ANDREW,ONDŘEJ,1
ANGELA,ANDĚLA,1
ANN,ANNA,1
ANNA,ANNA,2
ANTHONY,ANTONÍN,1
ANTONIN,ANTONÍN,2
ARNOLD,ARNOŠT,1
ARNOST,ARNOŠT,3
ARTHUR,ARTUR,1
ARTUR,ARTUR,2
BARBARA,BARBORA,1
BARBORA,BARBORA,2
BARTHOLOMEW,BARTOLOMĚJ,1
BARTOLOMEJ,BARTOLOMĚJ,2
BEDRICH,BEDŘICH,2
BENEDICT,BENEDIKT,1
BENEDIKT,BENEDIKT,2
BERNICE,BRONISLAVA,1
BETA,BĚTA,2
BETTY,BĚTA,1
BILL,VILÉM,2
BILLY,VILÉM,3
BLANCHE,BLANKA,1
BLANKA,BLANKA,2
BRIDGET,BRIGITA,1
BRIGITA,BRIGITA,2
BRONISLAVA,BRONISLAVA,2
CAMILLA,KAMILA,1
CAMILLE,KAMILA,2
CARL,KAREL,2
CAROL,KARLA,2
CAROLINE,KAROLÍNA,1
CATHERINE,KATEŘINA,1
CHARLES,KAREL,1
CHARLOTTE,KARLA,1
CHRISTIAN,KRISTIÁN,1
CHRISTINA,KRISTÝNA,2
CHRISTINE,KRISTÝNA,1
CHRISTOPHER,KRYŠTOF,1
CONRAD,KONRÁD,1
DAJANA,DAJÁNA,3
DAJANA,DIANA,3
DAVID,DAVID,
DENIS,DENIS,2
DENISA,DENISA,2
DENISE,DENISA,1
DENNIS,DENIS,1
DIANA,DAJÁNA,1
DIANA,DIANA,2
DIANNE,DAJÁNA,2
DIANNE,DIANA,1
DITA,DITA,3
DITA,EDITA,3
DOMINIC,DOMINIK,1
DOMINIK,DOMINIK,2
DOMINIKA,DOMINIKA,2
DOMINIQUE,DOMINIKA,1
DOROTA,DOROTA,2
DOROTHY,DOROTA,1
EDITA,DITA,2
EDITA,EDITA,2
EDITH,DITA,1
EDITH,EDITA,1
EDUARD,EDUARD,2
EDWARD,EDUARD,1
ELIAH,ELIÁŠ,2
ELIAS,ELIÁŠ,3
ELIASH,ELIÁŠ,1
ELIZABETH,ALŽBĚTA,2
EMA,EMA,2
EMILA,EMILA,3
EMILA,EMILIE,2
EMILIE,EMILA,2
EMILIE,EMILIE,3
EMILY,EMILA,1
EMILY,EMILIE,1
EMMA,EMA,1
ERIC,ERIK,1
ERIK,ERIK,2
ERNEST,ARNOŠT,2
EUGENE,EVŽEN,1
EUGENIA,EVŽÉNIE,1
EUGENIE,EVŽÉNIE,2
EVA,EVA,2
EVE,EVA,1
EVELINA,EVELÍNA,2
EVELYN,EVELÍNA,1
EVZEN,EVŽEN,2
EVZENIE,EVŽÉNIE,3
FILIP,FILIP,2
FRANCES,FRANTIŠKA,1
FRANCIS,FRANTIŠEK,2
FRANK,FRANTIŠEK,1
FRANTISEK,FRANTIŠEK,3
FRANTISKA,FRANTIŠKA,2
FREDERICK,BEDŘICH,1
GEORGE,JIŘÍ,1
GERTRUDA,GERTRÚDA,2
GERTRUDE,GERTRÚDA,1
GISELLE,GIZELA,1
GIZELA,GIZELA,2
GREGORY,ŘEHOŘ,1
GUS,GUSTAV,1
GUSTAV,GUSTAV,2
HANA,HANA,3
HANNA,HANA,1
HANNAH,HANA,2
HELEN,HELENA,1
HELENA,HELENA,2
HENRY,JINDŘICH,1
HONZA,HONZA,7
HUGH,HUGO,1
HUGO,HUGO,2
IAN,HONZA,4
IAN,JAN,3
ISABEL,IZABELA,1
IVAN,IVAN,1
IVONA,IVONA,2
IZABELA,IZABELA,2
JACK,HONZA,3
JACK,JAN,4
JACOB,JAKUB,1
JAKUB,JAKUB,2
JAMES,JAKUB,3
JAN,HONZA,2
JAN,JAN,6
JANA,JANA,10
JANA,JOHANA,4
JANE,JANA,1
JANET,JANA,3
JANET,ŽANETA,1
JANICE,JANA,2
JAROMIR,JAROMÍR,2
JAROSLAUS,JAROSLAV,1
JAROSLAV,JAROSLAV,4
JEAN,JANA,4
JEREMIAS,JEREMIÁŠ,2
JEREMY,JEREMIÁŠ,1
JEROME,JERONÝM,1
JERONYM,JERONÝM,2
JERRY,JAROMÍR,1
JERRY,JAROSLAV,3
JINDRICH,JINDŘICH,2
JIRI,JIŘÍ,2
JITKA,JITKA,4
JITKA,JUDITA,4
JOAN,JANA,5
JOAN,JOHANA,1
JOANNA,JANA,6
JOANNA,JOHANA,2
JOANNE,JANA,7
JOANNE,JOHANA,3
JOHAN,HONZA,6
JOHAN,JAN,5
JOHANA,JANA,8
JOHANA,JOHANA,5
JOHN,HONZA,1
JOHN,JAN,1
JOHN,JOHAN,1
JOHNY,HONZA,5
JOHNY,JAN,2
JOHNY,JOHAN,2
JOLANA,JOLANA,2
JONAS,JONÁŠ,1
JONATAN,JONATÁN,2
JONATHAN,JONATÁN,1
JOSEF,JOSEF,2
JOSEPH,JOSEF,1
JUDITA,JITKA,3
JUDITA,JUDITA,3
JUDITH,JITKA,2
JUDITH,JUDITA,2
JUDY,JITKA,1
JUDY,JUDITA,1
JULIUS,JULIUS,1
KAMILA,KAMILA,3
KAREL,KAREL,5
KAREN,KARINA,1
KARINA,KARINA,2
KARL,KAREL,4
KARLA,KARLA,3
KAROLINA,KAROLÍNA,2
KATERINA,KATEŘINA,2
KONRAD,KONRÁD,2
KRISTIAN,KRISTIÁN,2
KRISTYNA,KRISTÝNA,3
KRYSTOF,KRYŠTOF,2
LADISLAUS,LADISLAV,1
LADISLAV,LADISLAV,2
LADISLAVA,LADISLAVA,1
LAURA,LAURA,2
LAUREN,LAURA,1
LAURENCE,VAVŘINEC,2
LAWRENCE,VAVŘINEC,1
LENA,LENKA,1
LENKA,LENKA,2
LEWIS,LUDĚK,1
LEWIS,LUDVÍk,1
LILIANA,LILIANA,2
LILLIAN,LILIANA,1
LISA,LÍZA,1
LIZA,LÍZA,2
LOUIS,LUDĚK,2
LOUIS,LUDVÍK,3
LUCAS,LUKÁŠ,1
LUCIE,LUCIE,2
LUCY,LUCIE,1
LUDEK,LUDĚK,5
LUDEK,LUDVÍK,3
LUDVIK,LUDĚK,4
LUDVIK,LUDVÍK,5
LUIS,LUDĚK,3
LUIS,LUDVÍK,2
LUKAS,LUKÁŠ,3
LUKE,LUKÁŠ,2
MAREK,MAREK,2
MARIE,MARIE,2
MARK,MAREK,1
MARTA,MARTA,2
MARTHA,MARTA,1
MARTIN,MARTIN,1
MARTINA,MARTINA,2
MARTINE,MARTINA,1
MARY,MARIE,1
MATEJ,MATĚJ,3
MATEJ,MATOUŠ,2
MATOUS,MATĚJ,2
MATOUS,MATOUŠ,3
MATTHEW,MATĚJ,1
MATTHEW,MATOUŠ,1
MICHAEL,MICHAL,1
MICHAELA,MICHAELA,2
MICHAL,MICHAL,3
MICHELLE,MICHAELA,1
MIKE,MICHAL,2
MIKE,MIROSLAV,2
MIKOLAS,MIKOLÁŠ,
MIKOLAS,MIKULÁŠ,2
MIKULAS,MIKOLÁŠ,
MIKULAS,MIKULÁŠ,3
MILAN,MILAN,1
MILO,MILOSLAV,1
MILOSLAV,MILOSLAV,2
MIMI,MIRIAM,2
MIRA,MIROSLAVA,1
MIRIAM,MIRIAM,1
MIRO,MIROSLAV,3
MIROSLAUS,MIROSLAV,1
MIROSLAV,MIROSLAV,4
MIROSLAVA,MIROSLAVA,2
MYRA,MIROSLAVA,3
NELA,NELA,2
NELLY,NELA,1
NICHOLAS,MIKOLÁŠ,1
NICOLE,NIKOLA,1
NIKOLA,NIKOLA,2
OLDRICH,OLDŘICH,2
OLDRICH,ULRICH,1
OLIVER,OLIVER,1
OLIVIA,OLÍVIE,1
OLIVIE,OLÍVIE,2
ONDREJ,ONDŘEJ,2
OSVALD,OSVALD,2
OSVALD,OSWALD,2
OSWALD,OSVALD,1
OSWALD,OSWALD,1
OTA,OTA,3
OTA,OTO,3
OTA,OTTO,3
OTO,OTA,2
OTO,OTO,2
OTO,OTTO,2
OTTO,OTA,1
OTTO,OTO,1
OTTO,OTTO,1
PATRICK,PATRIK,1
PATRIK,PATRIK,2
PAUL,PAVEL,1
PAVEL,PAVEL,2
PETER,PETR,1
PETR,PETR,2
PHILIP,FILIP,1
REBECCA,REBEKA,1
REHOR,ŘEHOŘ,2
RENATE,RENATA,2
RENÉE,RENATA,1
ROSE,RŮŽENA,1
ROSEANNE,RENA,1
ROSTI,ROSTISLAV,1
ROSTISLAUS,ROSTISLAV,2
ROSTISLAV,ROSTISLAV,3
RUDOLF,RUDOLF,2
RUDOLPH,RUDOLF,1
RUZENA,RŮŽENA,2
SABINA,SABINA,2
SABINE,SABINA,1
SARA,SÁRA,2
SARAH,SÁRA,1
SIDNEY,ZDENĚK,1
SIGMUND,ZIKMUND,1
SILVESTR,SILVESTR,2
SILVIE,SILVIE,2
SIMON,ŠIMON,1
SIMONA,SIMONA,2
SIMONE,SIMONA,1
SOFIE,SOFIE,3
SONA,SOŇA,2
SONIA,SOŇA,1
SOPHIA,SOFIE,1
SOPHIE,SOFIE,2
STANISLAV,STANISLAV,3
STANLEY,STANISLAV,1
STELA,STELA,2
STELLA,STELA,1
STEPANKA,ŠTĚPÁNKA,2
STEPHANIE,ŠTĚPÁNKA,1
STEVE,STANISLAV,2
SUSAN,ZUZANA,2
SUSANNA,ZUZANA,3
SUZANNE,ZUZANA,1
SYLVESTER,SILVESTR,1
SYLVIA,SILVIE,1
SYLVIA,SYLVIE,1
SYLVIE,SYLVIE,2
TADEAS,TADEÁŠ,1
TEODOR,TEODOR,2
TERESA,TEREZA,3
TEREZA,TEREZA,5
TERRY,TEREZA,4
THEODORE,TEODOR,1
THERESA,TEREZA,2
THERESE,TEREZA,1
THOMAS,TOMÁŠ,1
TOBIAS,TOBIÁŠ,1
TOMAS,TOMÁŠ,2
ULRICH,OLDŘICH,1
ULRICH,ULRICH,2
VACLAV,VÁCLAV,3
VALDEMAR,VALDEMAR,2
VALDEMAR,WALDEMAR,1
VALENTINE,VALENTÝN,1
VALENTYN,VALENTÝN,2
VALTR,VALTR,2
VALTR,WALTER,1
VANDA,VANDA,2
VAVRINEC,VAVŘINEC,3
VENDULA,VENDULA,2
VERONICA,VERONIKA,1
VERONIKA,VERONIKA,2
VICTOR,VIKTOR,1
VICTORIA,VIKTORIE,1
VIKTOR,VIKTOR,2
VIKTORIE,VIKTORIE,2
VILEM,VILÉM,4
VINCENC,VINCENC,2
VINCENT,VINCENC,1
VIOLA,VIOLA,2
VIOLET,VIOLA,1
VLASTIMIL,VLASTIMIL,1
WALDEMAR,VALDEMAR,1
WALDEMAR,WALDEMAR,2
WALTER,VALTR,1
WALTER,WALTER,2
WANDA,VANDA,1
WENCESLAS,VÁCLAV,2
WENCESLAUS,VÁCLAV,1
WENDY,VENDULA,1
WILLIAM,VILÉM,1
WILLIE,VILÉM,2
XAVER,XAVER,2
XAVIER,XAVER,1
YAROSLAV,JAROSLAV,2
YOLANDA,JOLANA,1
YVONNE,IVONA,1
ZACHARIAS,ZACHARIÁŠ,2
ZACHARY,ZACHARIÁŠ,1
ZANETA,JANA,9
ZANETA,ŽANETA,2
ZDENEK,ZDENĚK,3
ZENNY,ZDENĚK,2
ZIKMUND,ZIKMUND,2
ZUZANA,ZUZANA,4
