id,name,count
1,ABAFFYOVÁ,12
2,ABARI,10
3,ABAZID,10
4,ABBAS,22
5,ABBASOVÁ,19
6,ABBRENT,13
7,ABBRENTOVÁ,13
8,ABDALLAH,17
9,ABDUL,13
10,ABDULLAH,15
11,ABDULOVÁ,17
12,ABDULRAHMAN,11
13,ABEL,81
14,ABELES,15
15,ABELOVÁ,82
16,ABELY,13
17,ABENDROTH,19
18,ABENDROTHOVÁ,11
19,ABERLE,72
20,ABERLOVÁ,77
21,ABERT,26
22,ABERTOVÁ,30
23,ABESKA,38
24,ABESKOVÁ,33
25,ABÍK,32
26,ABÍKOVÁ,35
27,ABRAHAM,409
28,ABRAHAMČÍK,15
29,ABRAHAMČÍKOVÁ,12
30,ABRAHAMOVÁ,419
31,ABRAHÁM,361
32,ABRAHÁMEK,37
33,ABRAHÁMKOVÁ,33
34,ABRAHÁMOVÁ,363
35,ABRAMCOV,11
36,ABRAMCOVÁ,12
37,ABRAMOVIČ,10
38,ABREŠEK,13
39,ABREŠKOVÁ,11
40,ABRHAM,25
41,ABRHAMOVÁ,23
42,ABRHÁM,130
43,ABRHÁMOVÁ,142
44,ABRLE,40
45,ABRLOVÁ,45
46,ABRMAN,35
47,ABRMANOVÁ,25
48,ABRT,54
49,ABRTOVÁ,54
50,ABSATZ,23
51,ABSATZOVÁ,17
52,ABSOLÍN,22
53,ABSOLÍNOVÁ,23
54,ABSOLON,444
55,ABSOLONOVÁ,470
56,ABŠNAJDR,18
57,ABŠNAJDROVÁ,13
58,ABT,43
59,ABTOVÁ,45
60,ACKERMANN,72
61,ACKERMANNOVÁ,58
62,ACOSTA,11
63,ACSAY,12
64,AČ,11
65,AČAI,10
66,ADAM,2342
67,ADAMCOVÁ,3344
68,ADAMCZYK,87
69,ADAMCZYKOVÁ,94
70,ADAMČÁK,13
71,ADAMČÁKOVÁ,10
72,ADAMČIAK,14
73,ADAMČIAKOVÁ,14
74,ADAMČIKOVÁ,13
75,ADAMČÍK,572
76,ADAMČÍKOVÁ,533
77,ADAME,28
78,ADAMEC,3191
79,ADAMEČKOVÁ,14
80,ADAMEK,35
81,ADAMETZ,39
82,ADAMETZOVÁ,30
83,ADAMI,28
84,ADAMICKÝ,12
85,ADAMICOVÁ,13
86,ADAMIČKA,43
87,ADAMIČKO,12
88,ADAMIČKOVÁ,67
89,ADAMIEC,54
90,ADAMIECOVÁ,37
91,ADAMIK,27
92,ADAMIKOVÁ,31
93,ADAMIŠ,24
94,ADAMIŠOVÁ,18
95,ADAMÍČEK,30
96,ADAMÍČKOVÁ,33
97,ADAMÍK,395
98,ADAMÍKOVÁ,399
99,ADAMÍRA,98
100,ADAMÍROVÁ,99
101,ADAMJÁK,15
102,ADAMJÁKOVÁ,18
103,ADAMKA,27
104,ADAMKO,15
105,ADAMKOVÁ,75
106,ADAMKOVIČ,29
107,ADAMKOVIČOVÁ,23
108,ADAMOPULOS,17
109,ADAMOV,41
110,ADAMOVÁ,2386
111,ADAMOVICOVÁ,12
112,ADAMOVIČ,95
113,ADAMOVIČOVÁ,89
114,ADAMOVOVÁ,20
115,ADAMOVSKÁ,225
116,ADAMOVSKÝ,209
117,ADAMS,38
118,ADAMSKÁ,58
119,ADAMSKÝ,56
120,ADAMU,24
121,ADAMUS,267
122,ADAMUSOVÁ,272
123,ADAMUŠKA,59
124,ADAMUŠKOVÁ,55
125,ADAMŮ,52
126,ADÁMEK,3518
127,ADÁMIK,12
128,ADÁMIKOVÁ,12
129,ADÁMKOVÁ,3756
130,ADÁŠEK,58
131,ADÁŠKOVÁ,57
132,ADDO,10
133,ADEL,15
134,ADELOVÁ,10
135,ADELT,29
136,ADELTOVÁ,28
137,ADEMI,18
138,ADENSAM,46
139,ADENSAMOVÁ,53
140,ADI,47
141,ADIOVÁ,48
142,ADL,13
143,ADLAF,11
144,ADLAFOVÁ,12
145,ADLER,218
146,ADLEROVÁ,246
147,ADLOF,41
148,ADLOFOVÁ,38
149,ADLOVÁ,25
150,ADLT,59
151,ADLTOVÁ,60
152,ADOLF,126
153,ADOLFOVÁ,115
154,ADOLT,14
155,ADOLTOVÁ,23
156,ADY,12
157,ADYOVÁ,13
158,ADZIMA,16
159,ADZIMOVÁ,13
160,AGEL,22
161,AGELOVÁ,24
162,AGH,31
163,AGHOVÁ,35
164,AHMAD,25
165,AHMADI,11
166,AHMADOVÁ,10
167,AHMED,51
168,AHMEDOVÁ,17
169,AHMETI,11
170,AHNE,27
171,AHNEL,18
172,AHNELOVÁ,24
173,AHNEOVÁ,28
174,ACHAC,11
175,ACHAČ,10
176,ACHAČOVÁ,10
177,ACHBERGER,12
178,ACHILLES,37
179,ACHILLESOVÁ,37
180,ACHRER,23
181,ACHREROVÁ,16
182,ACHS,12
183,ACHSOVÁ,13
184,AIBL,22
185,AIBLOVÁ,21
186,AICHINGER,33
187,AICHINGEROVÁ,38
188,AICHLER,17
189,AICHLEROVÁ,21
190,AIM,22
191,AIMOVÁ,26
192,AIPLDAUER,20
193,AIPLDAUEROVÁ,16
194,AISBRYCH,10
195,AIŠMAN,43
196,AIŠMANOVÁ,47
197,AIZNER,28
198,AIZNEROVÁ,34
199,AJDARI,11
200,AJGL,26
201,AJGLOVÁ,30
202,AJCHLER,21
203,AJCHLEROVÁ,18
204,AJKSNER,13
205,AJKSNEROVÁ,15
206,AJM,44
207,AJMOVÁ,44
208,AJŠMAN,14
209,AJŠMANOVÁ,21
210,AKAI,13
211,AKERMAN,10
212,AKERMANOVÁ,10
213,AKOVÁ,13
214,AKRITIDIS,14
215,AKRITIDU,17
216,AKRMAN,71
217,AKRMANOVÁ,74
218,AKSAMIT,68
219,AKSAMITOVÁ,65
220,AKSMAN,18
