id,latin_word,czech_translation
1,a cingulo infra,od pasu dolů
2,a contrario,"zase, naopak	viz RS 55, krit. aparát"
3,a converso,"naopak, naproti tomu, pak"
4,a modo,"odteď, odnynějška?"
5,a praesenti,odteď ; načež	MLLM
6,a se dissentire,být v rozporu sám se sebou
7,a sibi dissentire,být v rozporu sám se sebou
8,ab,"co se týče, pokud jde (pokud jde o ducha, byl již velmi vyspělý) ; od (o čase a pořadí) ; hned po"
9,ab,"od, s, z (místně) ; od (o odluce či vzdálení) ; z (o vycházení) ; na (o styčném místě, např. viset na rameni) ; od, ze strany, na straně (o hledisku) ; z, od (o původu, příčině, způsobu a vztahu) ; pro"
10,ab aeterno,od věčnosti
11,ab aeterno,"od věčnosti ; přede všemi věky (u jednorázových dějů, kde se nehodí ""od věčnosti"", viz RS 55:11, možná jde o chybné užití ; DZ)"
12,ab aeterno,od věčnosti
13,ab Insulis,z Lille
14,ab officio discedere,nedostát své povinnosti
15,abatissa,abatyše
16,abditius,"vzdálený, ukrytý"
17,abditus,"odlehlý, vzdálený, skrytý, v ústraní"
18,abdo,"skrýt, ukrýt se"
19,Abia,"Albi (jde chybný přepis ; viz Duv. Hist. 159, n. 41)"
20,abicio,odhazovat
21,ablutio,"omývání, čištění"
22,Abodriti,Obodrité
23,abrenuntio,zříci se čeho (bludného názoru apod.)	+ dat.
24,abscido,"odřezávat, odříznout, uříznout, vyříznout, přeříznout ; ustřihnout ; odtít, utít, useknout ; oddělovat, rozdělovat ; odlučovat, odnímat	Pražák"
25,abscindo,"odtrhnout, utrhnout, strhnout ; servat odervat, urvat ; odlučovat, oddělovat ; brát, odnímat ; mařit, ničit	Pražák"
26,abscisio,"odříznutí, odnětí, amputace ; vykleštění, kastrace ; přerušení (řeči) ; odtržení, odloučení ; exkomunikace	MLLM, LMALB ; Pražák nic, jen abscido"
27,abscissio,odtržení ; (astr.) zánik vzniklý zákrytem	LMALB
28,absente,v nepřítomnosti (koho)
29,absento,"(trans.) vzdalovat ; (intrans.) být vzdálen ; (refl.) vzdalovat se, vzdálit se ; nedostavit se k soudu ; (absol. / ab alqa re) vzdálit se od církevního působiště	LMALB"
30,absolutio,"zproštění, vysvobození, osvobození (zejm. na soudě) ; dodělání, dokončení ; dokonalost, úplnost ; odvázání, odpoutání ; rozhřešení (DZ)"
31,absolvo,"uvolnit, osvobodit, zbavit ; vykonat, rozřešit, vyřešit, dokončit ; uvolnit z úřadu ; vykoupit, vyplatit ; zprostit závazku ; zprošťovat ; rozhřešovat (tvar LMALB), udělovat rozhřešení"
32,absque,"kromě, bez"
33,abstersio,"otření, utření, vytření, smývání"
34,abstinentia,"zdrženlivost, zdržování se ; půst, hladovění, postění ; střídmost v pití ; sebeovládání, čistota, nezištnost, poctivost ; šetrnost, zdrženlivost ve výdajích ; nepřijímání svátosti oltářní	Pražák a LMALB"
35,abundans,"hojný, přehojný ; bohatý, zámožný ; přetékající, přeplněný ; nadbytečný, přebytečný, příliš hojný"
36,abundantia,"přetékání, vylévání, rozlévání, vystupování z břehů, rozvodnění ; nadbytek, přebytek, přeplnění ; hojnost, plnost, dostatek, bohatství, úroda"
