abatyše	abbess
abiturient	graduate (of whichever level of education) (male)
abreviatura	abbreviation (paleog., heral.), see also zkratka
absces	see hlíza
absolutismus	absolutism
osvícenský absolutismus	enlightened absolutism
absolutistická monarchie	absolute monarchy
absolutistická vláda	absolutist rule
absolutorium	approval
absolvent	see abiturient
absolventka	see abiturientka
absolvovat	1. to pass (to finish e.g. a college)
administrátor	administrator (a priest deputized to temporary administer a parochial district)
admirál	admiral
adopce	adoption
adoptivní matka	adoptive mother
adoptovat	to adopt
adresa	1. address
adresář	directory
advent	Advent
adventista	Seventh-Day Adventist
advokát	1. attomey
afinita	affinity, see also příbuznost
agenda	agenda
agentura	agency
aglomerace	aglomeration
agónie	agony
agrární	land, agrar
vídeňský achtl	Viennese achtl
akademický	adj. academic
akademická svoboda	academic freedom
akademie	academy
akademie múzických umění	Academy of Music and Dramatic Arts
akcidence	fee payed to landlorďs clerks for official acts
akta radní	see radní protokol
aktový materiál	see akta
aktový soubor file (arch.) aktuár	registrar (hist.)
akvarel	watercolour (picture)
almužna	alms
almužník	almoner (one who lives on charity), beadsman (hist.)
alumnus	student of school or university (hist.)
Amerika	America
Severní Amerika	North America
Jižní Amerika	South America
anály	see letopis
angina pectoris	angina pectoris (med.)
anomálie	anomaly
anonym	anonymous author/writer
antikoncepční pilulka	birth control pill
antikvář	antiquarian, bookseller
antropologie	anthropology
kulturní antropologie	cultural anthropology
anulace	annulment, nullification
anulovat	to annule
apatyka	see lékárna (hist.)
apostata	see odpadlík
apoštolát	apostolate
apoštolský	apostolic
apoštolský prefekt	apostolic prefect
apoštolský protonotář	apostolic protonotary
apotékář	druggist, pharmacist (hist.)
aprekace	appreciation (dipl.)
arcibiskup	archbishop
arcibiskupství subst. archbishopric arcibiskupský	adj. arch(i)episcopal
arciopat	archabbot
arenga	arenga{dipl.)
arch	fascicle (lib.)
Archiv hlavního města Prahy	Prague City Archives
Archiv koruny české	Archives of the Crown ofBohemia
Archiv university Karlovy	Archives of Charles University
farní archiv	parish archives
rodinný archiv	family archive
státní okresní archiv	State District Archives
zemský archiv	Land (Provincial) Archives
archivní	archival
archivní jednotka	item
archivní jednotlivina	see archivní jednotka
archivovat	to file
ascendent	subst. ascendant (= a lineal or collateral relative in the ascending line)
ateista	see nevěřící
ateismus	atheism
audience	audience
autorství	authorship
bába1. grandmother	2. midwife, obstetrician
bába babící	see bába 2.
bába kořenářka	herbwoman
porodní bába	midwife, obstetrician
babička	1. grandmother (coll.) 2. midwife
babyla	midwife (hist.,reg.)
baronet	Baronet
baronka	Baroness
barvíř	dyer (one who colours textiles)
běhavka	see úplavice střevní
bělenka	see nádor zhoubný mízní a krvetvorné tkáně
benedikce	benediction (e.g. abbatial b.)
beran	ram
opatská berla	see biskupská berla (of abbot)
berně	subst. tax (hist.)
bez potomstva	issueless, childless, without issue
bezdětný	adj. childless, heirless, issueless
běženec	see utečenec
bibliografie	bibliography
bidlák	see hnisavý zánět podkožní tkáně
bigamie	bigamy
bigamista	bigamist
biřmovanec	see biřmovaný
bitva u Kresčaku	Bartle of Crécy (1345)
bitva u Lipan	Bartle of Lipany (1434)
bitevní pole	battlefield
blahopřání	greetings (e.g. to a birth of a baby)
blahoslavený	blessed
blahoslavená P. Marie	Blessed Virgin Mary
blasonování	blazoning (heral.)
blázen	lunatic
blázinec	(lunatic) asylum, mental hospital/house
bláznit	to be mad
blbost	see idiocie
blednička	see chudokrevnost
blíženec	see dvojče
bohatý	rich
bohém	bohemian
bolák	see pryskýř
bolavý	sore
bolení	ache, gripes, colic
bolení břicha	see kolika
bolest	pain, ache
bordura	see lem
božec	see psotník and padoucnice
Boží	Goďs, Lorďs
Boží království	Kingdom/Realm of God
Boží moudrosti	see Svatá Trojice
Boží muka	wayside column (usu. with Crucifixion)
boží nemoc	see padoucnice
Boží syn	see syn
brát si za manžela (manželku)	see manžel
bratr1. brother	2. friar (title of a member of one of the Mendicant Orders founded in the Middle Ages)
čeští bratří	Bohemian/Czech Brethren,see also jednota bratrská
bratrstvo	brotherhood, fratemity, confratemity
brav	sheep, goats and pigs
breve	breve, brief (esp. Papal) (dipl., rel.)
brožura	(stitched) booklet, paper-back
brusič	cutter
reálné břemeno	real burden
březen	March
Bůh	God
požehnej Pán Bůh	God bless you
Zlatá bula Karlova	the Golden Bull of Charles IV.
Zlatá bula sicilská	Golden Bull od Sicily
bulvár1.boulevard, avenue	2. tabloid
buržoazie	bourgeoisie
bydlení	living, habitation, residence
bydlet	to live, to inhabit, to reside, to dwell
bylinář	herbalist (male)
bylinářka	herbalist (female), herb-woman
byrokracie	bureaucracy
byrokratický	bureaucratic
byt	1. (hist.) see příbytek 1. 2. fiat, apartment
úřední byt	see úřední
bytná	landlady
bývalý	former, previous
cedule řezaná	chirograph, endenture (dipl.)
cechmistr	head of guild
celebrovat mši svatou	to celebrate Mass
celibát	celibate, celibacy
census	census
centnéř	see centnýř
centnýř	measure ofweight (metro!.)
český centnýř	Bohemian centnýř
centralismus	centralism
centralistická politika	centralist policy
cenzura	censorship
služební cesta	see služební
cestář	road-mender
cestopis	travelogue
cihlář	brickmaker
cihlářství	brick-making
církev československá husitská	see československá církev
církevní	ecclesiastical
církevní překážka	see kanonická překážka
církevní soud	ecclesiastical court
církevní zákon	ecclesiastical law
cirkulář	see oběžník
cirolog	see chirurg
císařský královský	imperial royal
císařství	empíre
civilněprávní	aqj. civil-law
do ciziny	abroad (I will go a.)
v cizině	abroad (I lived a.)
z ciziny	from abroad
