id,name_cz,name_de,region_id,lat,lng
3101,Praha,Prag,14,50.0878,14.421
3201,Benešov,Beneschau,10,49.7838,14.6874
3202,Beroun,Beraun,10,49.9672,14.0863
3203,Kladno,Kladno,10,50.1417,14.1067
3204,Kolín,Klin,10,50.0273,15.2027
3205,Kutná Hora,Kuttenberg,10,49.9524,15.2687
3206,Mělník,Melnik,10,50.3539,14.4818
3207,Mladá Boleslav,Jungbunzlau,10,50.4134,14.9084
3208,Nymburk,Nimburg Neuenburg an der Elbe,10,50.1856,15.0437
3211,Příbram,Pibrans,10,49.6854,13.9989
3212,Rakovník,Rakonitz,10,49.6854,13.9989
3225,Vlašim,Wlaschim,10,49.7063,14.8988
3226,Votice,Wotitz,10,49.6401,14.6381
3230,Hořovice,Horschowitz,10,49.836,13.9027
3235,Slaný,Schlan,10,50.2305,14.0869
3240,Český Brod,Böhmisch Brod,10,50.0742,14.8608
3245,Čáslav,Tschaslau,10,49.9109,15.3908
3250,Kralupy nad Vltavou,Kralup an der Moldau,10,50.2416,14.3106
3251,Neratovice,Neratowitz,10,50.2593,14.5176
3255,Mnichovo Hradiště,Münchengrätz,10,50.5269,14.972
3260,Lysá nad Labem,Lissa an der Elbe,10,50.2014,14.8328
3261,Poděbrady,Podiebrad,10,50.1424,15.1189
3265,Brandýs nad Labem,Brandeis-Altbunzlau,10,50.1863,14.6592
3266,Říčany,Ritschan,10,49.9917,14.6543
3270,Černošice,(Ober) Tschernoschitz,10,49.9601,14.3198
3275,Dobříš,Dobrisch Doberschisch,10,49.7811,14.1672
3276,Sedlčany,Seltschan,10,49.6606,14.4266
3301,České Budějovice,Budweis,1,48.9757,14.4803
3302,Český Krumlov,Krumau an der Moldau,1,48.8127,14.3175
3303,Jindřichův Hradec,Neuhaus,1,49.1445,15.0061
3304,Pelhřimov,Pilgrams,12,49.4306,15.223
3305,Písek,Pisek,1,49.3035,14.158
3306,Prachatice,Prachatitz,1,49.0109,14
3307,Strakonice,Strakonitz,1,49.2604,13.9103
3308,Tábor,Tabor,1,49.413,14.6775
3325,Trhové Sviny,Schweinitz,1,48.8423,14.6392
3326,Týn nad Vltavou,Moldautein,1,49.2234,14.4206
3330,Kaplice,Kaplitz,1,48.7385,14.4963
3335,Dačice,Datschitz,1,49.0798,15.4342
3336,Třeboň,Wittingau,1,49.0035,14.7641
3340,Humpolec,Gumpolds,12,49.5415,15.3593
3341,Pacov,Patzau,12,49.4708,15.0017
3345,Milevsko,Mühlhausen,1,49.4509,14.36
3350,Vimperk,Winterberg,1,49.0525,13.7745
3355,Blatná,Blatna,1,49.4249,13.8818
3356,Vodňany,Wodnian,1,49.1479,14.1751
3360,Soběslav,Sobieslau,1,49.2599,14.7186
3401,Domažlice,Taus,9,49.4397,12.9311
3402,Cheb,Eger,3,50.0795,12.3699
3403,Karlovy Vary,Karlsbad,3,50.2319,12.872
3404,Klatovy,Klattau,9,49.3956,13.2951
3408,Rokycany,Rokitzan,9,49.7381,13.5929
3409,Sokolov,Sokolow,3,50.1745,12.6599
3410,Tachov,Tachow,9,49.7988,12.6362
3425,Horšovský Týn,Bischofteinitz,9,49.5302,12.9444
3430,Mariánské Lázně,Marienbad,3,49.9646,12.7012
3431,Aš,Asch,3,50.2239,12.195
3435,Ostrov,Ostrow,3,50.3068,12.9439
