id,czech_word,english_translation
1,abatyše,abbess
2,abiturient,graduate (of whichever level of education) (male)
3,abreviatura,"abbreviation (paleog., heral.), see also zkratka"
4,absces,see hlíza
5,absolutismus,absolutism
6,osvícenský absolutismus,enlightened absolutism
7,absolutistická monarchie,absolute monarchy
8,absolutistická vláda,absolutist rule
9,absolutorium,approval
10,absolvent,see abiturient
11,absolventka,see abiturientka
12,absolvovat,1. to pass (to finish e.g. a college)
13,administrátor,administrator (a priest deputized to temporary administer a parochial district)
14,admirál,admiral
15,adopce,adoption
16,adoptivní matka,adoptive mother
17,adoptovat,to adopt
18,adresa,address
19,adresář,directory
20,advent,Advent
21,adventista,Seventh-Day Adventist
22,advokát,attomey
23,afinita,"affinity, see also příbuznost"
24,agenda,agenda
25,agentura,agency
26,aglomerace,aglomeration
27,agónie,agony
28,agrární,"land, agrar"
29,vídeňský achtl,Viennese achtl
30,akademický,adj. academic
31,akademická svoboda,academic freedom
32,akademie,academy
33,akademie múzických umění,Academy of Music and Dramatic Arts
34,akcidence,fee payed to landlorďs clerks for official acts
35,akta radní,see radní protokol
36,aktový materiál,see akta
38,akvarel,watercolour (picture)
39,almužna,alms
40,almužník,"almoner (one who lives on charity), beadsman (hist.)"
41,alumnus,student of school or university (hist.)
42,Amerika,America
43,Severní Amerika,North America
44,Jižní Amerika,South America
45,anály,see letopis
46,angina pectoris,angina pectoris (med.)
47,anomálie,anomaly
48,anonym,anonymous author/writer
49,antikoncepční pilulka,birth control pill
50,antikvář,"antiquarian, bookseller"
51,antropologie,anthropology
52,kulturní antropologie,cultural anthropology
53,anulace,"annulment, nullification"
54,anulovat,to annule
55,apatyka,see lékárna (hist.)
56,apostata,see odpadlík
57,apoštolát,apostolate
58,apoštolský,apostolic
59,apoštolský prefekt,apostolic prefect
60,apoštolský protonotář,apostolic protonotary
61,apotékář,"druggist, pharmacist (hist.)"
62,aprekace,appreciation (dipl.)
63,arcibiskup,archbishop
64,arcibiskupství subst. archbishopric arcibiskupský,adj. arch(i)episcopal
65,arciopat,archabbot
66,arenga,arenga{dipl.)
67,arch,fascicle (lib.)
68,Archiv hlavního města Prahy,Prague City Archives
69,Archiv koruny české,Archives of the Crown ofBohemia
70,Archiv university Karlovy,Archives of Charles University
71,farní archiv,parish archives
72,rodinný archiv,family archive
73,státní okresní archiv,State District Archives
74,zemský archiv,Land (Provincial) Archives
75,archivní,archival
76,archivní jednotka,item
77,archivní jednotlivina,see archivní jednotka
78,archivovat,to file
79,ascendent,subst. ascendant (= a lineal or collateral relative in the ascending line)
80,ateista,see nevěřící
81,ateismus,atheism
82,audience,audience
83,autorství,authorship
84,bába,"1. grandmother 2. midwife, obstetrician"
86,bába kořenářka,herbwoman
87,porodní bába,"midwife, obstetrician"
88,babička,1. grandmother (coll.) 2. midwife
89,babyla,"midwife (hist.,reg.)"
90,baronet,Baronet
91,baronka,Baroness
92,barvíř,dyer (one who colours textiles)
93,běhavka,see úplavice střevní
94,bělenka,see nádor zhoubný mízní a krvetvorné tkáně
95,benedikce,benediction (e.g. abbatial b.)
96,beran,ram
97,opatská berla,see biskupská berla (of abbot)
98,berně,subst. tax (hist.)
99,bez potomstva,"issueless, childless, without issue"
